Site_ID,New_ID,Latitude_Degrees,Longitude_Degrees,Ocean_Name,Ecoregion_Name,Habitat_Type,Starting_Year,Ending_Year,Start_Date,End_Date,N_samples,Depth,Distance_to_shore,Exposure,Turbidity,Grav_tot,Initial_Cover,Initial_Algae,Cyclone_Freq,r_coeff,A_coeff,C_coeff,F_coeff,D_coeff,Analysis_Type,Mean_DHW_DR,Max_DHW_DR,SD_DHW_DR,Heatwaves_4_Number_DR,Heatwaves_8_Number_DR,Cyclone_Number_DR,Mean_Windspeed_DR,Number_of_Disturbances_DR,Velocity,Velocity_distance,Historical_Max_SST,Hist_Max_SST_distance,Skewness,Skewness_distance,Kurtosis,Kurtosis_distance,Max_Windspeed_DR,Low_DHW_Freq,High_DHW_Freq,Low_DHW_Freq_Prior,High_DHW_Freq_Prior,DHW_Freq_Prior,High_DHW_Number_DR,Low_DHW_Number_DR,Population,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Reef_Density_1km,Reef_Density_10km,Reef_Density_100km,Country_Name,Citation
709,7090001,-18.581181,146.497442,Pacific,Central & North GBR,Sheltered Reef Slope,2011,2015,2/27/2011,2/27/2015,3,NA,130.59,Sheltered,0.08,8,1.53,NA,0.048780488,0.296295405,NA,NA,NA,NA,Exp_Equation,0.262908966,2.17,0.603741268,0,0,0,0,0,0.01,0,30.069,0.502558,-0.106,0,-1.238,0,0,NA,NA,NA,NA,0.1156283,NA,NA,14.04306507,NA,NA,1.3,0.18,1.427,Australia,Torda et al. 2018
709,7090001,-18.581181,146.497442,Pacific,Central & North GBR,Sheltered Reef Slope,2011,2015,2/27/2011,2/27/2015,3,NA,130.59,Sheltered,0.08,8,1.53,NA,0.048780488,0.296295405,NA,NA,NA,NA,Exp_Equation,0.262908966,2.17,0.603741268,0,0,0,0,0,0.01,0,30.069,0.502558,-0.106,0,-1.238,0,0,NA,NA,NA,NA,0.1156283,NA,NA,14.04306507,NA,NA,1.3,0.18,1.427,Australia,Torda et al. 2018
710,7100001,-18.581181,146.497442,Pacific,Central & North GBR,Sheltered Reef Slope,2011,2015,2/27/2011,2/27/2015,3,NA,130.59,Sheltered,0.08,8,3.5,NA,0.048780488,0.081692174,NA,NA,NA,NA,Exp_Equation,0.262908966,2.17,0.603741268,0,0,0,0,0,0.01,0,30.069,0.502558,-0.106,0,-1.238,0,0,NA,NA,NA,NA,0.1156283,NA,NA,14.04306507,NA,NA,1.3,0.18,1.427,Australia,Torda et al. 2018
710,7100001,-18.581181,146.497442,Pacific,Central & North GBR,Sheltered Reef Slope,2011,2015,2/27/2011,2/27/2015,3,NA,130.59,Sheltered,0.08,8,3.5,NA,0.048780488,0.081692174,NA,NA,NA,NA,Exp_Equation,0.262908966,2.17,0.603741268,0,0,0,0,0,0.01,0,30.069,0.502558,-0.106,0,-1.238,0,0,NA,NA,NA,NA,0.1156283,NA,NA,14.04306507,NA,NA,1.3,0.18,1.427,Australia,Torda et al. 2018
711,7110001,-18.568444,146.502097,Pacific,Central & North GBR,Sheltered Reef Slope,2011,2017,2/27/2011,2/27/2017,3,NA,652.84,Sometimes,0.06,10,1.62,NA,0.048780488,0.7880543,NA,NA,NA,NA,Exp_Equation,0.39557938,5.48,0.834021744,1,0,0,0,1,0.01,0,30.069,0.497903,-0.106,0,-1.238,0,0,NA,NA,NA,NA,0.077085533,NA,NA,2.259777308,NA,NA,0.02,0,1.427,Australia,Torda et al. 2018
711,7110001,-18.568444,146.502097,Pacific,Central & North GBR,Sheltered Reef Slope,2011,2017,2/27/2011,2/27/2017,3,NA,652.84,Sometimes,0.06,10,1.62,NA,0.048780488,0.7880543,NA,NA,NA,NA,Exp_Equation,0.39557938,5.48,0.834021744,1,0,0,0,1,0.01,0,30.069,0.497903,-0.106,0,-1.238,0,0,NA,NA,NA,NA,0.077085533,NA,NA,2.259777308,NA,NA,0.02,0,1.427,Australia,Torda et al. 2018
712,7120001,-17.992067,321.321306,Atlantic,Brazil,Reef Slope,2007,2009,2/27/2007,2/27/2009,3,NA,58877.09,Exposed,0.08,23,11.71,0,0,0.202314434,NA,NA,NA,NA,Exp_Equation,0.205307798,1.47,0.453265482,0,0,0,0,0,0.013,0,28.113,0,0.037,0,-1.088,0,0,NA,NA,NA,NA,0.04557373,NA,NA,7.875555038,NA,NA,0.03,0.01,0.084,Brazil,Teixeria et al. 2021
712,7120001,-17.992067,321.321306,Atlantic,Brazil,Reef Slope,2007,2009,2/27/2007,2/27/2009,3,NA,58877.09,Exposed,0.08,23,11.71,0,0,0.202314434,NA,NA,NA,NA,Exp_Equation,0.205307798,1.47,0.453265482,0,0,0,0,0,0.013,0,28.113,0,0.037,0,-1.088,0,0,NA,NA,NA,NA,0.04557373,NA,NA,7.875555038,NA,NA,0.03,0.01,0.084,Brazil,Teixeria et al. 2021
712,7120002,-17.992067,321.321306,Atlantic,Brazil,Reef Slope,2012,2013,2/27/2012,2/27/2013,2,NA,58877.09,Exposed,0.08,23,13.29,0,0,0.04305649,NA,NA,NA,NA,Exp_Equation,0,0,0,0,0,0,0,0,0.013,0,28.113,0,0.037,0,-1.088,0,0,NA,NA,NA,NA,0.037112354,NA,NA,7.875555038,NA,NA,0.03,0.01,0.084,Brazil,Teixeria et al. 2021
712,7120003,-17.992067,321.321306,Atlantic,Brazil,Reef Slope,2014,2017,2/27/2014,2/27/2017,4,NA,58877.09,Exposed,0.08,23,13.29,0,0,0.119990031,17.52290301,1.544224963,0.875085838,13.29,Gompertz_NLS,0.442153285,4.68,1.12865998,1,0,0,0,1,0.013,0,28.113,0,0.037,0,-1.088,0,0,NA,NA,NA,NA,0.034544766,NA,NA,7.875555038,NA,NA,0.03,0.01,0.084,Brazil,Teixeria et al. 2021
